X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-68.964836,18.21035,train,9.232037319977588E-5,40.254293016189386,0.430722039675304
-68.304496,12.389324,train,9.473109841885856E-5,41.52573258909202,0.43705365120444817
-61.73855,15.96073,train,7.870189854166232E-5,33.14505921614922,0.3920976307519535
-97.06514,21.088155,train,7.197473012449336E-5,28.308421416163238,0.371017169957529
-97.353893,21.100641,train,4.6078582531511074E-5,5.613628502885409,0.2741192629450484
-97.265033,21.083385,train,5.255074768868984E-5,8.81782552474275,0.30103137112171274
-62.438764,17.221681,train,6.771187741000768E-5,23.286828455669124,0.35688519702262034
-62.427965,17.321353,train,6.641751940054986E-5,21.43392108298581,0.3524676665534388
-97.236393,21.023983,train,5.7312286643356074E-5,12.053866380527186,0.3195902079732426
-87.397179,18.404929,train,5.023216330268201E-4,96.47622391573498,0.8045643707442309
-97.219677,20.974224,train,5.582603712279033E-5,10.888603793935607,0.3139040052413283
-77.038157,26.599048,train,9.603037678438759E-5,42.31826141308886,0.44040805884166406
-77.191047,26.548496,train,1.137482471541752E-4,49.92023993037527,0.48246143444725503
-86.744717,21.113141,train,2.6529209533744294E-4,87.65583605761562,0.6849599857013687
-63.371309,17.65171,train,6.713539094172451E-5,22.44487430249165,0.3549251662224927
-87.309675,20.352105,train,2.898785054074069E-4,90.20457871338162,0.7037649476085839
-69.03724,18.311766,train,9.817676143395795E-5,43.448542499907724,0.4458627668801625
-69.077298,18.227151,train,9.015290769341497E-5,39.15401446760944,0.4249064976441303
-71.345547,19.960643,train,9.63134085028602E-5,42.466321619489726,0.4411334793450609
-67.23894,18.230822,train,1.3666867376776608E-4,57.95919179438353,0.5283168804355017
-67.321612,18.326616,train,1.2743610494801271E-4,55.315548458238,0.5108593913016813
-65.271301,18.277714,train,7.449202996735536E-5,30.641556835285254,0.3790744497104724
-62.949034,17.45317,train,7.333393678616594E-5,29.689900347809115,0.375393458873038
-68.374634,12.174073,train,1.092448285019099E-4,48.13460177428392,0.47238333315496217
-82.250583,9.331017,train,2.890063269403117E-4,90.11542160591905,0.7031363481471141
-68.354763,12.047922,train,1.0672276365361414E-4,47.254640560732746,0.4665659094652386
-62.687689,17.024797,train,6.939755296734673E-5,25.420468389608093,0.36254869413970525
-86.835168,20.900389,train,2.6060646769692343E-4,86.92209068377615,0.6811020013823503
-80.238469,25.056498,train,1.6555265902988502E-4,64.21586353303758,0.5756933270105195
-68.224552,18.529464,train,8.918694175400091E-5,38.72104377141292,0.4222762559119761
-81.421032,24.460907,train,1.2637175787249305E-4,55.0083760470404,0.5087634319664329
-87.20238,20.415026,train,3.228882212217784E-4,91.83281950336455,0.7257440270559776
-86.48239,15.888568,train,2.3091325025567484E-4,80.43819737974647,0.6542721283221755
-79.83888,15.82253,train,1.6339797482493767E-4,63.85484287639078,0.5724901213924168
-87.379618,20.278595,train,2.7409785619454446E-4,88.793071284355,0.6919634044316486
-82.759964,9.763116,train,3.383617332764639E-4,92.31174400839093,0.7349618539966848
-79.99915,15.80542,train,1.6588779035376475E-4,64.28173059182853,0.5761872327723443
-97.216431,21.446042,train,7.041316668420545E-5,26.531430559293547,0.36591303177305756
-61.83092,16.14202,train,7.886541270083104E-5,33.24007997363752,0.39259244769507295
-87.9699,17.885,train,1.2587452106204127E-4,54.845601828490075,0.5077780829643869
-68.254308,12.399854,train,9.503661430377928E-5,41.714369774108064,0.43784602710755366
-97.373777,21.172201,train,5.064181735626366E-5,7.661938643400759,0.2933035718595755
-65.296267,18.305017,train,7.886447962697988E-5,33.23953774913183,0.3925896263670405
-67.335739,18.340378,train,1.2538009502710746E-4,54.60079142839849,0.5067943766220872
-87.889893,18.278859,train,7.09802593652797E-5,27.25393353844147,0.3677761863731317
-61.227751,15.288216,train,8.688309116752445E-5,37.62442795320129,0.4159048792775822
-96.275085,19.534577,train,3.553624029564872E-5,2.811759000401838,0.22554887526108258
-81.593484,24.588841,train,8.741462591385975E-5,37.92661076794714,0.4173872961899322
-97.309594,21.555742,train,6.828805804602725E-5,24.04986932160618,0.35883232258497094
-86.67963,16.245396,train,2.3218216942873858E-4,80.70296483202854,0.6555106946501517
-80.25897,14.45737,train,2.0898630927631293E-4,75.1441455438638,0.6313698624783266
-87.630104,18.691672,train,7.246809160156143E-4,98.44707101867408,0.8558894784465958
-87.603906,18.855188,train,9.061946203522714E-4,99.1072548730457,0.8813297691735613
-87.615182,18.93006,train,7.494550792038003E-4,98.57235633798634,0.8599862389763638
-87.689417,18.636036,train,6.275632144020908E-4,98.01441351131835,0.8372181490278268
-64.468282,18.438494,train,7.843629030376159E-5,32.99342168456531,0.3912921420414006
-64.481156,18.228472,train,6.306822996281347E-5,17.371586118245983,0.3407500462807015
-64.468061,18.313503,train,6.619185059690134E-5,21.06738328935039,0.35169125849182503
-59.786197,13.116877,train,8.954758932266574E-5,38.89275711678767,0.4232610777274999
-59.645505,13.119678,train,9.426556807707082E-5,41.24802179932569,0.4358419628008398
-95.84977,19.199528,train,3.327051290875897E-5,2.3679732837170975,0.21424931321173132
-59.730617,13.053247,train,7.430049302665823E-5,30.468336690958836,0.3784686482851241
-74.568074,23.834189,train,1.0625058436799042E-4,46.988392966635935,0.46546248894072045
-61.145576,13.848801,train,7.526195375198898E-5,31.22843906520323,0.38149773048949537
-61.231805,15.248657,train,8.56691648290522E-5,36.97335341487382,0.4124908620236138
-68.93929,12.027329,train,1.7025290849539154E-4,65.16565764392757,0.5825169464060176
-64.681668,18.260312,train,6.706531457321297E-5,22.340264977165123,0.35468609468012313
-80.489908,25.19802,train,1.275710208563143E-4,55.368500106143394,0.5111237970859693
-87.790721,17.24116,train,1.9318551424380763E-4,70.33019271759228,0.6128908665878097
-65.399403,18.239335,train,8.153071174397936E-5,34.62581895611271,0.40054592815454776
-67.111991,17.9239,train,8.719108725075386E-5,37.795763107054995,0.4167647787606895
-80.0792,19.6848,train,2.2645421299497136E-4,79.6459157838043,0.6498482108477823
-82.253454,9.58223,train,4.3511839651558145E-4,95.30643400323831,0.7809904294750482
-86.929655,16.05712,train,2.2114884501284722E-4,78.64908384621792,0.6444348595538035
-86.304987,16.240659,train,2.1844289293108157E-4,78.0400896938509,0.6416088624490207
-87.756717,18.221959,train,2.0315761618193884E-4,73.32525555399782,0.6247622630361335
-79.8389,19.7127,train,2.2764476668309227E-4,79.82885120670858,0.6510404287043128
-77.554481,26.100382,train,1.0701000362036102E-4,47.43226388815746,0.46723492554263696
-68.996239,12.128578,train,1.6053928041390175E-4,63.263205087783696,0.5681649135087997
-68.929445,12.001867,train,1.2032464602377868E-4,52.65221259336224,0.49650574915697343
-87.760339,18.362073,train,1.8118547442551512E-4,67.70740503335769,0.5975700624876292
-87.898289,17.21031,train,1.8939755367692647E-4,69.54802678091032,0.60818219712131
-65.5638,18.3377,train,9.91058944604879E-5,43.9539291785625,0.4481911746752031
-80.391691,25.076966,train,1.5160403851180646E-4,61.08347349205838,0.5540631718634901
-96.989028,20.764778,train,6.965092326316885E-5,25.68905627889084,0.36339135034208264
-88.062391,16.644969,train,2.0162707211906174E-4,72.85635992780615,0.6229877344587587
-87.48054,17.292774,train,2.231004984122774E-4,79.00818274179328,0.646445587451079
-96.994861,20.754667,train,6.211544969209893E-5,16.404035493485285,0.3373388276016033
-88.185732,16.629784,train,2.0446923901307085E-4,73.74640252289166,0.6262697338723776
-94.808361,18.539778,train,6.072354667633234E-5,15.02567541236034,0.3322914873025946
-96.174165,19.246669,train,3.438779035530426E-5,2.586268146632417,0.219862277159841
-88.14775,16.944769,train,1.8035076499154173E-4,67.4606016555819,0.596459128371434
-88.07608,16.790478,train,1.897472652836108E-4,69.62194518967804,0.6086217044508082
-64.96644,18.27947,train,7.875328356394713E-5,33.1749198946732,0.39225321593231705
-64.83592,18.32323,train,7.719214236479376E-5,32.37359083461362,0.3874905201453091
-64.84812,18.35835,train,7.701365758430158E-5,32.2891120564731,0.38694124331834806
-65.03217,18.36054,train,8.716817322369537E-5,37.782350452614985,0.41670089188501674
-64.68713,18.34403,train,7.039510061373232E-5,26.5048223019236,0.36585349609514173
-64.77394,18.36764,train,7.62523058478441E-5,31.907513911629117,0.38458712006583984
