Predictor variable,Categorical,Sample average
PAR_near45,false,43.7612326176406
currentspeed_near45,false,19.881924628412957
pH_near45,false,8.08870135089369
salinity_near45,false,35.540016288146525
sst_near45,false,28.235742133083647
