Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.86131E-8,0.000002861,0.000224907,1,0,0
3.27334E-8,0.000012279,0.000257286,0.999718151,0,0
1.05869E-7,0.000034186,0.000831653,0.999436302,0,0
1.6089E-7,0.000060938,0.001263331,0.999248403,0,0
2.24587E-7,0.000120629,0.001762603,0.998966554,0,0
3.64694E-7,0.000275166,0.002859048,0.998496806,0,0
5.26041E-7,0.000502656,0.004118728,0.998027057,0,0
7.01723E-7,0.001048205,0.005486715,0.997181511,0,0
1.27165E-6,0.002532849,0.009898794,0.995772266,0,0
2.04534E-6,0.005118191,0.015826086,0.994269072,0,0
2.73228E-6,0.010173657,0.021029624,0.992296129,0,0
4.43989E-6,0.02541534,0.033729252,0.988350244,0.001455604,0
6.17598E-6,0.050401313,0.046307392,0.983840661,0.001455604,0
9.01409E-6,0.100865332,0.066179153,0.977639985,0.010189229,0
1.30472E-5,0.201303297,0.093034363,0.968996618,0.020378457,0
1.61086E-5,0.301302981,0.112410486,0.962514092,0.020378457,0
1.7971E-5,0.400379037,0.123797802,0.957065013,0.024745269,0
1.8837E-5,0.501709167,0.128993845,0.951897783,0.026200873,0
1.97284E-5,0.601877046,0.134278339,0.947012401,0.027656477,0
2.0808E-5,0.701153378,0.140593272,0.942408869,0.029112082,0
2.1049E-5,0.751377967,0.141990585,0.940154077,0.029112082,0
2.14255E-5,0.800245694,0.144164,0.937993236,0.029112082,0
2.22273E-5,0.900561561,0.148756648,0.933671552,0.030567686,0
2.29649E-5,1.000076711,0.152938108,0.929537768,0.033478894,0
2.36203E-5,1.100306422,0.156619145,0.925497933,0.033478894,0
2.42999E-5,1.201107001,0.160402904,0.921552048,0.036390102,0
2.49817E-5,1.302328195,0.164164331,0.917700113,0.036390102,0
2.56177E-5,1.401056439,0.167643258,0.914036077,0.037845706,0
2.61075E-5,1.502082981,0.170302358,0.910372041,0.037845706,0
2.75797E-5,1.751355561,0.178194788,0.901634724,0.037845706,0
2.89446E-5,2.002770876,0.185378433,0.893273206,0.040756914,0
2.98417E-5,2.252893365,0.190032301,0.885287486,0.040756914,0
3.10075E-5,2.50216967,0.196000874,0.877583615,0.043668122,0
3.21602E-5,2.751350398,0.20181673,0.870161593,0.04657933,0
3.31783E-5,3.002321833,0.206883807,0.862927471,0.04657933,0
3.41537E-5,3.251323766,0.211678453,0.855975197,0.04657933,0
3.53146E-5,3.501119483,0.217310198,0.849210823,0.04657933,0
3.63085E-5,3.751698019,0.22206789,0.842634348,0.04657933,0
3.73377E-5,4.002206585,0.22693418,0.836245772,0.04657933,0
3.80305E-5,4.251342306,0.230175664,0.830045096,0.04657933,0
3.87461E-5,4.501038558,0.233495629,0.823938369,0.04657933,0
3.94501E-5,4.75150596,0.23673351,0.817925592,0.04657933,0
4.02444E-5,5.002560258,0.240354624,0.812006764,0.04657933,0
4.1044E-5,5.250608058,0.243964904,0.806275836,0.048034934,0
4.17055E-5,5.503026125,0.246926057,0.800544908,0.055312955,0
4.23856E-5,5.751303457,0.249946157,0.795001879,0.056768559,0
4.30444E-5,6.003364122,0.252848731,0.78945885,0.061135371,0
4.38192E-5,6.250863345,0.256234126,0.78410372,0.064046579,0
4.44213E-5,6.502386461,0.25884325,0.778748591,0.066957787,0
4.50493E-5,6.752921749,0.261545681,0.773487411,0.0713246,0
4.56312E-5,7.002314902,0.264032067,0.76832018,0.0713246,0
4.60976E-5,7.254414409,0.266012937,0.76315295,0.072780204,0
4.65818E-5,7.504657028,0.268058097,0.758079669,0.072780204,0
4.69504E-5,7.752634332,0.269607215,0.753100338,0.072780204,0
4.73658E-5,8.002690993,0.27134531,0.748121007,0.072780204,0
4.76461E-5,8.254483402,0.272513787,0.743141676,0.072780204,0
4.80211E-5,8.503160896,0.274070505,0.738256295,0.072780204,0
4.83818E-5,8.75387756,0.275562135,0.733370913,0.072780204,0
4.87023E-5,9.001403375,0.276881828,0.728579481,0.075691412,0
4.90665E-5,9.250760418,0.278376179,0.72378805,0.077147016,0
4.95867E-5,9.502389796,0.280499721,0.718996618,0.07860262,0
4.99788E-5,9.751256915,0.282092041,0.714299136,0.080058224,0
5.04446E-5,10.002515641,0.283974316,0.709601654,0.080058224,0
5.0809E-5,10.25061721,0.285440083,0.704998121,0.080058224,0
5.11414E-5,10.500392465,0.286772076,0.700394589,0.080058224,0
5.13985E-5,10.751632287,0.287798962,0.695791056,0.082969432,0
5.18037E-5,11.004609258,0.289410905,0.691187523,0.084425036,0
5.21399E-5,11.25398951,0.290743353,0.686677941,0.084425036,0
5.24628E-5,11.505107458,0.292017845,0.682168358,0.087336245,0
5.28417E-5,11.75270164,0.29350807,0.677752725,0.087336245,0
5.30957E-5,12.001725786,0.294503271,0.673337091,0.087336245,0
5.33343E-5,12.251779195,0.295435846,0.668921458,0.088791849,0
5.35954E-5,12.503140837,0.296453245,0.664505825,0.090247453,0
5.39251E-5,12.750558992,0.297734009,0.660184141,0.090247453,0
5.43045E-5,13.005010359,0.299202136,0.655768508,0.090247453,0
5.46422E-5,13.250119242,0.300503411,0.651540774,0.093158661,0
