X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-71.37395,19.867988,train,9.735078228764094E-5,39.121016677646416,0.4335487636642392
-68.964836,18.21035,train,8.65425554118307E-5,34.447346193928446,0.4049043640293893
-68.304496,12.389324,train,1.6124386348314738E-4,57.88948478150839,0.5590260849875189
-61.73855,15.96073,train,6.364408356345102E-5,22.83038201364886,0.33349914532487884
-97.06514,21.088155,train,5.962803847784194E-5,18.98908522184509,0.31917156157415444
-97.353893,21.100641,train,5.1467088728298235E-5,10.794454026214288,0.28807228630299403
-97.265033,21.083385,train,5.2209619337467624E-5,11.308209940352398,0.29101888440870805
-62.438764,17.221681,train,5.6172243472612124E-5,14.71796190458204,0.3063403378297287
-62.427965,17.321353,train,5.558868819604836E-5,14.07766832142889,0.3041257383618554
-97.236393,21.023983,train,5.348860906756738E-5,12.400332931496457,0.2960375378125065
-87.397179,18.404929,train,5.388370493184378E-4,95.97139522376725,0.8090278471682271
-97.219677,20.974224,train,5.242449385196469E-5,11.47531693062183,0.29186702992094593
-77.038157,26.599048,train,6.815609684547506E-5,25.50073834928244,0.3488934168977583
-77.191047,26.548496,train,6.908435948473983E-5,26.137752426755274,0.35197271847726674
-86.744717,21.113141,train,5.477603394195207E-4,96.21499814073135,0.8115526132832864
-63.371309,17.65171,train,5.707268310033307E-5,15.719831573971213,0.3097299968887262
-87.309675,20.352105,train,5.710694331794596E-4,96.76993445524049,0.8178432800889063
-69.03724,18.311766,train,8.522254307837436E-5,33.88203380591036,0.4012062697733955
-69.077298,18.227151,train,8.572028161494588E-5,34.08586614775276,0.4026060996942057
-71.345547,19.960643,train,9.891010989495606E-5,39.91730990136119,0.4374553093218201
-67.23894,18.230822,train,7.363383412396863E-5,28.472076504141356,0.36665292894339213
-67.321612,18.326616,train,7.328097004647727E-5,28.284823893334256,0.3655381449899573
-65.271301,18.277714,train,6.340697976193758E-5,22.652427425811517,0.3326700282945043
-62.949034,17.45317,train,5.610930425155267E-5,14.652598972599355,0.30610216110651484
-82.247717,9.205148,train,1.465511462097297E-4,54.61395662766596,0.5353576357435637
-68.374634,12.174073,train,1.7416263824927757E-4,61.26472552997992,0.5779301221706861
-82.250583,9.331017,train,1.8103661091101384E-4,63.093493913009496,0.5873428925882217
-68.354763,12.047922,train,1.7346761396970693E-4,61.071075878997526,0.5769544420611485
-62.687689,17.024797,train,5.803618549316966E-5,16.848391050674394,0.3133205538745217
-86.835168,20.900389,train,5.874818167105042E-4,97.29368215309717,0.822026476257797
-80.238469,25.056498,train,3.99341239897096E-4,92.39043879604083,0.7584332210502304
-68.224552,18.529464,train,8.78949243917877E-5,35.00364289380657,0.4086460338176098
-81.421032,24.460907,train,1.6057228827355853E-4,57.75809578870556,0.5579969584154058
-87.20238,20.415026,train,5.872862720644732E-4,97.28349464984915,0.8219777669957067
-86.48239,15.888568,train,2.2016667162955418E-4,75.6657938423176,0.6338286764442288
-79.83888,15.82253,train,1.815839517910214E-4,63.2296515716869,0.5880743718293775
-82.759964,9.763116,train,1.7202955746181028E-4,60.63839083085003,0.574921296768046
-79.99915,15.80542,train,1.9684061316821913E-4,68.28466930848342,0.6074692893765333
-97.216431,21.446042,train,5.902341070306064E-5,18.104320175440282,0.3169609762849708
-61.83092,16.14202,train,6.280265344375501E-5,22.160803038322182,0.33054742942028426
-87.9699,17.885,train,1.634583393982362E-4,58.3902057179642,0.5623858675954955
-68.254308,12.399854,train,1.582002123269848E-4,57.23113442817474,0.5543232063272984
-97.373777,21.172201,train,5.121230114414009E-5,10.569677532418721,0.28705555586197734
-65.296267,18.305017,train,6.375736833143156E-5,22.910873554171115,0.33389455854832506
-67.335739,18.340378,train,7.203271287577086E-5,27.672622607219353,0.3615629020185611
-87.889893,18.278859,train,1.638199340788136E-4,58.482417748181,0.562929619417495
-61.227751,15.288216,train,6.357089692769416E-5,22.778381156316286,0.3332434423576623
-96.275085,19.534577,train,4.138155122630256E-5,5.379412333218098,0.245478884895744
-81.593484,24.588841,train,1.2134013721130544E-4,48.23859318976344,0.48822471918125526
-97.309594,21.555742,train,5.706591456911316E-5,15.711646209518735,0.3097046406770715
-86.67963,16.245396,train,2.2453622027711117E-4,76.58061771139435,0.6383776369449065
-80.25897,14.45737,train,2.347351597912882E-4,78.84145352957354,0.6485679525778957
-87.630104,18.691672,train,4.094260101746725E-4,92.86305370994792,0.7629730236788114
-87.603906,18.855188,train,5.135956131043032E-4,95.52009527965241,0.8015052265612328
-87.615182,18.93006,train,5.124109724524365E-4,95.40867735442899,0.80113758517608
-87.689417,18.636036,train,4.0467934831350534E-4,92.66649500620619,0.7608576920411357
-64.468282,18.438494,train,5.977248561689534E-5,19.220188988581544,0.319697560234931
-64.481156,18.228472,train,6.062736239674624E-5,20.16621997015101,0.32279399778485945
-64.468061,18.313503,train,6.036935285120129E-5,19.887448423821574,0.3218624388194723
-59.786197,13.116877,train,6.184042324669642E-5,21.314367655002027,0.3271397427923124
-59.645505,13.119678,train,6.10517561209989E-5,20.57371928989852,0.324320742116348
-95.84977,19.199528,train,4.4765458775362923E-5,6.639685693330059,0.26032680912698486
-59.730617,13.053247,train,6.302321776718496E-5,22.347095736095238,0.33132368903922826
-74.568074,23.834189,train,1.0384549895633132E-4,41.790688244051914,0.44947224185941775
-61.145576,13.848801,train,6.387005977886107E-5,22.990943526233387,0.33428743560685864
-61.231805,15.248657,train,6.280747502510939E-5,22.16508774043295,0.3305644178830343
-68.93929,12.027329,train,2.035840458763729E-4,70.50021718187622,0.615471666092763
